country,industry_share_2000,industry_share_2025,manufacturing_share_2000,manufacturing_share_2025,industry_cagr,manufacturing_cagr,gdp_cagr,start_year_used,end_year_used,note
Australia,23.56,20.35,9.07,5.05,2.11,0.26,2.74,2000,2024,
Belgium,21.54,17.69,14.42,11.23,0.74,0.52,1.57,2000,2024,
United States,16.86,20.03,11.35,12.0,2.87,2.3,2.12,2000,2024,
Canada,27.25,22.49,14.91,8.65,1.1,-0.37,1.91,2000,2024,
Mexico,34.03,29.02,22.12,20.04,0.83,1.08,1.5,2000,2024,
Brazil,22.23,17.72,13.65,9.28,1.3,0.63,2.26,2000,2024,
Germany,27.17,23.25,18.69,19.33,0.36,1.16,1.01,2000,2024,
France,19.83,15.81,11.34,9.88,0.28,0.66,1.24,2000,2024,
Italy,23.84,21.57,15.55,14.01,-0.04,-0.05,0.38,2000,2024,
Denmark,25.03,25.46,13.3,20.72,1.42,3.24,1.35,2000,2024,
Finland,25.59,21.76,16.72,14.04,0.41,0.36,1.09,2000,2024,
Netherlands,19.94,17.55,10.39,11.12,0.94,1.77,1.48,2000,2024,
United Kingdom,22.7,16.4,9.06,9.27,0.15,1.61,1.52,2000,2024,
South Africa,28.26,19.98,14.7,11.22,0.64,0.97,2.11,2000,2024,
China,36.46,37.71,15.42,25.21,8.29,10.57,8.14,2004,2024,partial series
Japan,31.14,30.22,19.61,21.87,0.49,1.1,0.6,2000,2024,
Turkey,24.28,25.13,15.41,16.34,5.09,5.2,4.94,2000,2024,
